iter	Passed	Remaining
369	409	697
370	410	695
371	410	693
372	411	691
373	411	689
374	412	686
375	412	684
376	413	682
377	413	680
378	414	678
379	414	676
380	414	674
381	415	671
382	415	669
383	416	667
384	416	665
385	417	663
386	417	661
387	418	659
388	418	657
389	419	656
390	420	654
391	420	652
392	421	650
393	421	648
394	421	646
395	422	644
396	422	642
397	423	640
398	423	638
399	424	636
400	424	634
401	425	632
402	425	630
403	426	629
404	426	627
405	427	625
406	427	623
407	428	621
408	428	619
409	429	618
410	429	616
411	430	614
412	430	612
413	431	610
414	431	608
415	432	606
416	432	605
417	433	603
418	433	601
419	434	599
420	435	598
421	435	596
422	435	594
423	436	592
424	436	591
425	437	589
426	437	587
427	438	585
428	438	584
429	439	582
430	439	580
431	440	579
432	440	577
433	441	575
434	441	573
435	442	572
436	442	570
437	443	568
438	443	567
439	444	565
440	444	563
441	445	562
442	445	560
443	446	558
444	446	557
445	447	555
446	447	553
447	448	552
448	448	550
449	449	549
450	449	547
451	450	545
452	451	544
453	451	543
454	451	541
455	452	539
456	452	538
457	453	536
458	453	534
459	454	533
460	454	531
461	455	530
462	455	528
463	456	527
464	456	525
465	457	523
466	457	522
467	458	520
468	458	519
469	459	517
470	459	516
471	459	514
472	460	513
473	460	511
474	461	510
475	462	508
476	462	507
477	463	505
478	463	504
479	463	502
480	464	501
481	464	499
482	465	498
483	465	496
484	466	495
485	466	493
486	467	492
487	467	490
488	468	489
489	468	487
490	469	486
491	469	485
492	470	483
493	470	482
494	471	480
495	471	479
496	472	477
497	472	476
498	473	475
499	473	473
500	474	472
501	474	470
502	475	469
503	475	468
504	476	466
505	476	465
506	477	464
507	477	462
508	478	461
509	479	460
510	479	459
511	480	457
512	481	456
513	481	455
514	482	453
515	482	452
516	483	451
517	483	449
518	484	448
519	484	447
520	484	445
521	485	444
522	485	443
523	486	441
524	486	440
525	487	439
526	487	437
527	488	436
528	488	435
529	489	433
530	489	432
531	490	431
532	490	430
533	491	428
534	492	427
535	492	426
536	493	425
537	493	423
538	493	422
539	494	421
540	494	419
541	495	418
542	495	417
543	496	416
544	496	414
545	497	413
546	497	412
547	498	411
548	498	409
549	499	408
550	499	407
551	500	406
552	500	404
553	501	403
554	501	402
555	502	401
556	502	399
557	503	398
558	503	397
559	504	396
560	504	394
561	505	393
562	505	392
563	506	391
564	506	390
565	507	388
566	507	387
567	508	386
568	508	385
569	508	383
570	509	382
571	509	381
572	510	380
573	510	379
574	511	377
575	511	376
576	512	375
577	512	374
578	513	373
579	513	372
580	514	370
581	514	369
582	515	368
583	515	367
584	516	366
585	516	365
586	517	364
587	517	362
588	518	361
589	518	360
590	519	359
591	519	358
592	520	357
593	520	356
594	521	355
595	522	354
596	523	353
597	523	352
598	524	350
599	524	349
600	525	348
601	526	347
602	526	346
603	527	345
604	528	344
605	528	343
606	529	342
607	530	341
608	530	340
609	531	339
610	532	338
611	532	337
612	533	336
613	533	335
614	534	334
615	534	333
616	535	332
617	535	331
618	536	329
619	536	328
620	537	327
621	537	326
622	537	325
623	538	324
624	538	323
625	539	322
626	539	321
627	540	320
628	540	319
629	541	318
630	542	316
631	542	316
632	543	315
633	543	314
634	544	313
635	545	311
636	545	310
637	546	309
638	546	308
639	547	307
640	548	306
641	548	305
642	549	304
643	549	303
644	550	302
645	551	302
646	551	301
647	552	300
648	553	299
649	553	298
650	554	297
651	555	296
652	555	295
653	556	294
654	557	293
655	557	292
656	558	291
657	559	290
658	559	289
659	560	288
660	561	287
661	561	286
662	562	285
663	563	285
664	563	284
665	564	283
666	565	282
667	565	281
668	566	280
669	567	279
670	567	278
671	568	277
672	568	276
673	569	275
674	569	274
675	570	273
676	570	272
677	571	271
678	571	270
679	572	269
680	573	268
681	573	267
682	574	266
683	574	265
684	575	264
685	575	263
686	576	262
687	576	261
688	577	260
689	577	259
690	578	258
691	578	257
692	579	256
693	579	255
694	580	254
695	580	253
696	581	252
697	581	251
698	582	250
699	582	249
700	583	248
701	583	247
702	584	246
703	584	245
704	585	244
705	585	243
706	585	242
707	586	241
708	587	241
709	588	240
710	588	239
711	589	238
712	589	237
713	590	236
714	590	235
715	591	234
716	592	233
717	592	232
718	593	231
719	593	230
720	594	230
721	594	229
722	595	228
723	595	227
724	596	226
725	596	225
726	597	224
727	598	223
728	598	222
729	599	221
730	599	220
731	600	219
732	600	218
733	601	217
734	601	216
735	602	216
736	603	215
737	603	214
738	604	213
739	604	212
740	605	211
741	605	210
742	606	209
743	606	208
744	607	207
745	607	206
746	608	206
747	608	205
748	609	204
749	609	203
750	610	202
751	610	201
752	611	200
753	611	199
754	612	198
755	612	197
756	613	196
757	613	195
758	614	194
759	614	194
760	615	193
761	615	192
762	616	191
763	616	190
764	617	189
765	617	188
766	618	187
767	619	187
768	619	186
769	620	185
770	621	184
771	621	183
772	622	182
773	622	181
774	623	180
775	623	179
776	624	179
777	624	178
778	624	177
779	625	176
780	625	175
781	626	174
782	626	173
783	627	172
784	627	171
785	628	171
786	628	170
787	629	169
788	629	168
789	630	167
790	630	166
791	631	165
792	631	164
793	632	164
794	633	163
795	633	162
796	634	161
797	634	160
798	635	159
799	635	158
800	636	158
801	636	157
802	637	156
803	637	155
804	638	154
805	638	153
806	639	152
807	639	152
808	640	151
809	640	150
810	641	149
811	641	148
812	642	147
813	642	146
814	643	146
815	643	145
816	644	144
817	644	143
818	645	142
819	645	141
820	646	140
821	646	140
822	647	139
823	647	138
824	648	137
825	649	136
826	649	135
827	650	135
828	651	134
829	651	133
830	652	132
831	652	131
832	653	131
833	654	130
834	654	129
835	655	128
836	655	127
837	656	126
838	657	126
839	657	125
840	658	124
841	659	123
842	659	122
843	660	122
844	660	121
845	661	120
846	661	119
847	662	118
848	663	117
849	663	117
850	664	116
851	665	115
852	665	114
853	666	113
854	666	113
855	667	112
856	667	111
857	668	110
858	669	109
859	669	109
860	670	108
861	670	107
862	671	106
863	671	105
864	672	104
865	673	104
866	673	103
867	674	102
868	674	101
869	675	100
870	675	100
871	676	99
872	676	98
873	677	97
874	678	96
875	678	96
876	679	95
877	679	94
878	680	93
879	680	92
880	681	92
881	682	91
882	682	90
883	683	89
884	683	88
885	684	88
886	685	87
887	685	86
888	686	85
889	687	84
890	687	84
891	688	83
892	688	82
893	689	81
894	689	80
895	690	80
896	690	79
897	691	78
898	691	77
899	692	76
900	692	76
901	693	75
902	693	74
903	694	73
904	695	72
905	695	72
906	696	71
907	696	70
908	697	69
909	697	69
910	698	68
911	698	67
912	699	66
913	699	65
914	700	65
915	700	64
916	701	63
917	701	62
918	702	61
919	702	61
920	703	60
921	703	59
922	704	58
923	704	57
924	705	57
925	705	56
926	706	55
927	706	54
928	707	54
929	707	53
930	708	52
931	709	51
932	709	50
933	710	50
934	710	49
935	711	48
936	712	47
937	712	47
938	713	46
939	713	45
940	714	44
941	714	43
942	715	43
943	715	42
944	716	41
945	716	40
946	717	40
947	717	39
948	718	38
949	718	37
950	719	37
951	719	36
952	720	35
953	720	34
954	720	33
955	721	33
956	721	32
957	722	31
958	723	30
959	723	30
960	724	29
961	725	28
962	725	27
963	726	27
964	726	26
965	727	25
966	727	24
967	728	24
968	728	23
969	729	22
970	729	21
971	729	21
972	730	20
973	730	19
974	731	18
975	731	17
976	732	17
977	732	16
978	733	15
979	733	14
980	734	14
981	734	13
982	735	12
983	735	11
984	736	11
985	736	10
986	737	9
987	737	8
988	738	8
989	739	7
990	739	6
991	740	5
992	740	5
993	741	4
994	741	3
995	742	2
996	742	2
997	743	1
998	743	0
999	744	0
